siret,codePostalEtablissement,libelleCommuneEtablissement,longitude,latitude,denominationUniteLegale,categorieJuridiqueUniteLegale
42337592200063,20270,ALERIA,9.513296,42.114914,CORSE PRESSE,5710
42337592200071,20250,CORTE,9.150372,42.307726,CORSE PRESSE,5710
42337592200089,20260,CALVI,8.760103,42.545031,CORSE PRESSE,5710
42337592200097,20200,BASTIA,9.449294,42.70011,CORSE PRESSE,5710
42337592200105,20290,LUCCIANA,9.482003,42.5547317,CORSE PRESSE,5710
42338899000024,20250,CORTE,9.149326,42.305018,ESSO CORTE,5499
42352549200017,20250,CORTE,9.155351,42.302446,SARL HOTEL RESTONICA,5499
42353210000025,20217,SAINT-FLORENT,9.302036,42.680438,DU BASTION,5499
42354391700011,20200,BASTIA,9.449365,42.698704,OR FEE,5499
42358979500016,20200,BASTIA,9.439113,42.665886,EUROPEAN BAKINN'S JEAN'S,5499
42359825900020,20218,URTACA,9.164109,42.594337,OPTIMA GESTION,5499
42366009100012,20260,CALVI,8.734232,42.561226,TRAMARICCIA,5710
42367275700014,20230,SAN-NICOLAO,9.526545,42.369702,SAVELLI FERRONNERIE,5710
42369393600019,20230,POGGIO-MEZZANA,9.512116,42.401574,MIAMI PLAGE,5499
42374241000024,20620,BIGUGLIA,9.439744,42.595367,LA FONCIERE CORSE,5499
42375394600015,20200,BASTIA,9.447117,42.694757,SEBASTIANI EQUIPEMENT HOTELIER,5499
42376549400012,20290,BORGO,9.3678965,42.5071448,OPTION AVENTURE,5499
42382603100019,20200,BASTIA,9.450509,42.693036,RESTAURANT SAMPIERO,5499
42387591300034,20220,L'ILE-ROUSSE,8.941771,42.632329,SARL TPG 2B,5499
42389852700027,20200,BASTIA,9.453351,42.704718,ENTREPRISE SECURITE SERVICE EXPRESS,5499
42396383400027,20600,FURIANI,9.417183,42.652366,BALBI PREVOYANCE,5499
42400963700036,20260,CALVI,8.7454,42.566307,CONCEPT'IM,5499
42401938800026,20620,BIGUGLIA,9.43874,42.620043,LUSITANIA BTP 2B,5499
42404384200014,20230,SAN-NICOLAO,9.526545,42.369702,FRUTICOR,5499
42405763600013,20200,BASTIA,9.439113,42.665886,SARL PRO FORMA,5499
42422475600033,20200,BASTIA,9.449481,42.702308,FASHION CAFE,5499
42427155900025,20600,FURIANI,9.413422,42.658441,ART SCENE LUPINO PRODUCTIONS,5499
42431255100023,20200,BASTIA,9.449976,42.698743,BOZY-SHOES,5499
42431567900045,20200,BASTIA,9.450188,42.701057,CORSICA,5499
42438272900020,20620,BIGUGLIA,9.432858,42.628199,DUCLOT REPROGRAPHIE,5499
42463098600208,20200,BASTIA,9.45539,42.708231,EUREKA,5710
42466333400029,20200,BASTIA,9.451124,42.704797,LES JARDINS D ARCADIE,5710
42473488700039,20240,SOLARO,9.397363,41.884322,S.L.C SARL,5499
42479171300011,20200,BASTIA,9.451043,42.692796,E DOLCE,5499
42492304300014,20200,BASTIA,9.44967,42.697454,SOCIETE LA RECRE,5710
42492304300048,20620,BIGUGLIA,9.436275,42.63324,SOCIETE LA RECRE,5710
42492304300055,20600,FURIANI,9.44072,42.653824,SOCIETE LA RECRE,5710
42493047700031,20200,BASTIA,9.448235,42.708044,SOC NEGOCE INGENIERIE INDUSTRIE,5710
42494356100037,20240,GHISONACCIA,9.408654,42.019512,INZI,5499
42497285900021,20235,CASTELLO-DI-ROSTINO,9.298063,42.471535,A SMACHJERA,5710
42513871600013,20250,POGGIO-DI-VENACO,9.20602,42.268739,QUIROCH,5499
42812526400039,20200,BASTIA,9.45539,42.708231,BIOTEL 20,5499
42817832100017,20240,GHISONACCIA,9.422958,42.043757,GFC,5499
42826802333680,20228,LURI,9.408338,42.897529,DISTRIBUTION CASINO FRANCE,5710
42861101600042,20214,CALENZANA,8.86747,42.511195,LES FILMS DU TOURBILLON,5499
42871441400011,20230,SAN-NICOLAO,9.526545,42.369702,ALZITANA RESTAURATION,5499
42881083200017,20290,BORGO,9.457523,42.574093,B.H. CONSTRUCTIONS,5499
42881296000022,20247,ROGLIANO,9.449087,42.956901,CAP AZUR MARINE,5499
42884240500014,20272,PIANELLO,9.2822437,42.0262262,EURL CYRNOS INDUSTRIE,5499
42886286600012,20200,BASTIA,3.8848488,43.6083086,LE CLEM'S,5499
42898771300032,20250,CORTE,9.168421,42.303099,SARL CORTE PEINTURE,5499
